"state","bill_id","title","session","lastAction","signed","source","id"
"hi","SB 1051","RELATING TO UNMANNED AERIAL VEHICLES.","2017 Regular Session","2017-02-03",,"http://capitol.hawaii.gov/Archives/measure_indiv_Archives.aspx?billtype=SB&billnumber=1051&year=2017","HIB00028349"
"hi","SB 1296","RELATING TO UNMANNED AIRCRAFT SYSTEMS TECHNOLOGIES.","2017 Regular Session","2017-01-27",,"http://capitol.hawaii.gov/Archives/measure_indiv_Archives.aspx?billtype=SB&billnumber=1296&year=2017","HIB00029079"
"hi","SB 454","RELATING TO UNMANNED AERIAL VEHICLES.","2017 Regular Session","2017-01-23",,"http://capitol.hawaii.gov/Archives/measure_indiv_Archives.aspx?billtype=SB&billnumber=454&year=2017","HIB00028564"
"ia","HF 2154","Bill History for House File 2154Journal Actions Only Floor Managers: Kerr Lobbyist Declarations All Related Bills to Selected Bill LSB 5259YCHSB518 By COMMITTEE ON PUBLIC SAFETY A bill for an act relating to operating an unmanned aerial vehicle in, on, or above a county jail, municipal holding facility, detention facility for juveniles, community-based correctional facility, or institution under the management of the department of corrections, and providing penalties. (Formerly HSB 518.)","2017-2018","2018-03-15",,"https://www.legis.iowa.gov/legislation/billTracking/billHistory?billName=HF 2154&ga=87","IAB00010506"
"ia","HSB 518","Bill History for House Study Bill 518Journal Actions Only Floor Managers: Kerr Lobbyist Declarations All Related Bills to Selected Bill LSB 5259HVHF2154 By COMMITTEE ON PUBLIC SAFETY A bill for an act relating to operating an unmanned aerial vehicle in, on, or above a county jail, municipal holding facility, detention facility for juveniles, or institution under the management of the department of corrections, and providing penalties. (See HF 2154.)","2017-2018","2018-01-18",,"https://www.legis.iowa.gov/legislation/billTracking/billHistory?billName=HSB 518&ga=87","IAB00010215"
"ia","HF 589","Bill History for House File 589Journal Actions Only Floor Managers: Klein Lobbyist Declarations All Related Bills to Selected Bill LSB 2007YCHSB88 By COMMITTEE ON PUBLIC SAFETY A bill for an act relating to the use of unmanned aerial vehicles, and providing penalties. (Formerly HSB 88.)","2017-2018","2017-04-04",,"https://www.legis.iowa.gov/legislation/billTracking/billHistory?billName=HF 589&ga=87","IAB00009778"
"ia","HSB 88","Bill History for House Study Bill 88Journal Actions Only Floor Managers: Klein Lobbyist Declarations All Related Bills to Selected Bill LSB 2007HVHF589 By COMMITTEE ON PUBLIC SAFETY A bill for an act relating to the use of unmanned aerial vehicles, and providing penalties. (See HF 589.)","2017-2018","2017-03-01",,"https://www.legis.iowa.gov/legislation/billTracking/billHistory?billName=HSB 88&ga=87","IAB00009046"
"il","SB 3291","UNMANNED AIRCRAFT SYSTEMS","100th","2018-08-03","2018-08-03 00:00:00","http://ilga.gov/legislation/BillStatus.asp?DocNum=3291&GAID=14&DocTypeID=SB&LegId=111112&SessionID=91&GA=100","ILB00104795"
"il","HB 4122","CRIM CD-UNMANNED AERIAL VEH","100th","2017-10-24",,"http://ilga.gov/legislation/BillStatus.asp?DocNum=4122&GAID=14&DocTypeID=HB&LegId=108074&SessionID=91&GA=100","ILB00101954"
"nd","SCR 4014","A concurrent resolution supporting the development of the unmanned aircraft systems industry in North Dakota and throughout the United States, congratulating the Federal Aviation Administration on the first Beyond Visual Line of Sight Certificate of Authorization in the United States, and encouraging further cooperation with the Federal Aviation Administration to safely integrate unmanned aircraft systems into the national airspace.","65","2017-04-21",,"http://www.legis.nd.gov/assembly/65-2017/bill-actions/ba4014.html","NDB00003608"
